"Username","Stimuli.Cue","affordance_parsed","word","lemma","POS.y"
"10138868","abacus","huh?","huh","huh","INTJ"
"w10088419","abdomen","bend","bend","bend","NOUN"
"w10088419","abdomen","eat","eat","eat","VERB"
"10138605GB","abdomen","large intestine","intestine","intestine","NOUN"
"10138605GB","abdomen","large intestine","large","large","ADJ"
"w10117786HW","abdomen","look at","look","look","VERB"
"w10117786HW","abdomen","research","research","research","VERB"
"10138605GB","abdomen","small intestine","intestine","intestine","NOUN"
"10138605GB","abdomen","small intestine","small","small","ADJ"
"w10134091_akl","abdomen","stomach","stomach","stomach","NOUN"
"w10134091_akl","abdomen","stomach","stomach","stomach","NOUN"
"10138605GB","abdomen","stomach","stomach","stomach","NOUN"
"10138605GB","abdomen","stomach","stomach","stomach","NOUN"
"w10088419","abdomen","straighten","straighten","straighten","VERB"
"w10117786HW","abdomen","touch","touch","touch","VERB"
"w10088419","abdomen","workout","workout","workout","VERB"
"w10088419","absinthe","clean","clean","clean","VERB"
"w10117786HW","absinthe","drink","drink","drink","VERB"
"10138605GB","absinthe","eat","eat","eat","VERB"
"w10117786HW","absinthe","make","make","make","VERB"
"w10117786HW","absinthe","pour","pour","pour","VERB"
"w10088419","absinthe","shower","shower","shower","VERB"
"10138605GB","absinthe","smell","smell","smell","VERB"
"w10079083_bdd","accessory","buy","buy","buy","VERB"
"w10079083_bdd","accessory","sell","sell","sell","VERB"
"w10079083_bdd","accessory","store","store","store","VERB"
"w10136710_edj","accessory","to buy","buy","buy","VERB"
"w10136710_edj","accessory","to gift","gift","gift","NOUN"
"w10136710_edj","accessory","to make","make","make","VERB"
"w10136710_edj","accessory","to sell","sell","sell","VERB"
"w10136710_edj","accessory","to throw","throw","throw","VERB"
"w10136710_edj","accessory","to wear","wear","wear","VERB"
"w10079083_bdd","accessory","use","use","use","VERB"
"w10079083_bdd","accessory","wear","wear","wear","VERB"
"w10155081_KD","accordion","play","play","play","VERB"
"w10155081_KD","accordion","press","press","press","VERB"
"w10155081_KD","accordion","squeeze","squeeze","squeeze","VERB"
"w10135630","acne","pop it","pop","pop","VERB"
"w10085133_dpl","acne","skincar","skincare","skincare","NOUN"
"w10140827_bms","acorn","chipmunk food","chipmunk","chipmunk","NOUN"
"w10140827_bms","acorn","chipmunk food","food","food","VERB"
"w101333088_ccb","acorn","cracking","cracking","crack","VERB"
"w10140827_bms","acorn","deer food","deer","deer","NOUN"
"w10140827_bms","acorn","deer food","food","food","NOUN"
"w101333088_ccb","acorn","eating","eating","eat","VERB"
"w10079390MW","acorn","feed squirrels","feed","feed","VERB"
"w10079390MW","acorn","feed squirrels","squirrels","squirrel","NOUN"
"w10115532","acorn","grow","grow","grow","VERB"
"w10079390MW","acorn","make jewelry","jewelry","jewelry","NOUN"
"w10079390MW","acorn","make jewelry","make","make","VERB"
"w101333088_ccb","acorn","picking","picking","pick","VERB"
"w10079390MW","acorn","plant","plant","plant","VERB"
"w10140827_bms","acorn","squirrel food","food","food","NOUN"
"w10140827_bms","acorn","squirrel food","squirrel","squirrel","NOUN"
"w10079390MW","acorn","throw","throw","throw","VERB"
"w10138556_HA","actress","acting","acting","act","VERB"
"w10138556_HA","actress","hugging","hugging","hug","VERB"
"w10138556_HA","actress","watching","watching","watch","VERB"
"w10138405AH","acupuncture","relief","relief","relief","VERB"
"w10114716_bmg","acupuncture","stress relief","relief","relief","VERB"
"w10114716_bmg","acupuncture","stress relief","stress","stress","NOUN"
"w10114716_bmg","acupuncture","therapy","therapy","therapy","VERB"
"10140980CH","addict","snorting","snorting","snort","VERB"
"w10096632","advisor","advice","advice","advice","VERB"
"w10096632","advisor","classes","classes","class","NOUN"
"w10121547_aow","advisor","help","help","help","VERB"
"w10085166RP","advisor","used help with ","help","help","VERB"
"w10085166RP","advisor","used help with ","used","use","VERB"
"W10024445BC","afro","african american culture","african","african","ADJ"
"W10024445BC","afro","african american culture","american","american","ADJ"
"W10024445BC","afro","african american culture","culture","culture","NOUN"
"W10024445BC","afro","african american movie","african","african","ADJ"
"W10024445BC","afro","african american movie","american","american","ADJ"
"W10024445BC","afro","african american movie","movie","movie","NOUN"
"W10024445BC","afro","art","art","art","NOUN"
"w10038845_asg","afro","comb","comb","comb","VERB"
"W10024445BC","afro","education ","education","education","NOUN"
"w10038845_asg","afro","pick","pick","pick","VERB"
"w926509_ccl","aftershave","cologne","cologne","cologne","NOUN"
"w926509_ccl","aftershave","lotion","lotion","lotion","NOUN"
"w926509_ccl","aftershave","put on face after shaving","face","face","NOUN"
"w926509_ccl","aftershave","put on face after shaving","put","put","VERB"
"w926509_ccl","aftershave","put on face after shaving","shaving","shave","VERB"
"w926509_ccl","aftershave","smell good","good","good","ADJ"
"w926509_ccl","aftershave","smell good","smell","smell","VERB"
"w10157208_AB","album","art","art","art","NOUN"
"w10157208_AB","album","buy","buy","buy","VERB"
"w10157208_AB","album","collect","collect","collect","VERB"
"w10157208_AB","album","gift","gift","gift","NOUN"
"w10087684_tmb","album","insert","insert","insert","VERB"
"w10157208_AB","album","listen to","listen","listen","VERB"
"w10157208_AB","album","produce","produce","produce","VERB"
"w10157208_AB","album","record","record","record","VERB"
"w10157208_AB","album","sell","sell","sell","VERB"
"w10157208_AB","album","store","store","store","VERB"
"w10157208_AB","album","suggest","suggest","suggest","VERB"
"w10134977D.P.","album","to clean","clean","clean","VERB"
"w10134977D.P.","album","to listen to","listen","listen","VERB"
"w10134977D.P.","album","to play over and over again","play","play","VERB"
"w10134977D.P.","album","to sell","sell","sell","VERB"
"w10134977D.P.","album","to sell","sell","sell","VERB"
"w10134977D.P.","album","to sell","sell","sell","VERB"
"w10134977D.P.","album","to sell","sell","sell","VERB"
"w10157208_AB","album","write","write","write","VERB"
"w10157208_AB","album","write","write","write","VERB"
"w10087684_tmb","album","write","write","write","VERB"
"w10087684_tmb","album","write","write","write","VERB"
"w10142111_AS","ale","drink","drink","drink","VERB"
"w10128098","ale","drinking","drinking","drink","VERB"
"w10128098","ale","making","making","make","VERB"
"w10142111_AS","ale","marinate meat","marinate","marinate","VERB"
"w10142111_AS","ale","marinate meat","meat","meat","NOUN"
"w10128098","ale","mixing","mixing","mix","VERB"
"w10011164_tal","alfalfa","feed animals","animals","animal","NOUN"
"w10011164_tal","alfalfa","feed animals","feed","feed","VERB"
"w979168","alfalfa","garden","garden","garden","VERB"
"w213445ebm","alfalfa","kids","kids","kid","NOUN"
"w213445ebm","alfalfa","movie","movie","movie","NOUN"
"w979168","alfalfa","plant","plant","plant","VERB"
"w214176_hdb","algae","clean","clean","clean","VERB"
"w10130203_sbv","algae","eating?","eating","eat","VERB"
"w214176_hdb","algae","study","study","study","VERB"
"w10133128_KC","almanac","dates","dates","date","NOUN"
"w10071291BY","almanac","read","read","read","VERB"
"w10043546CEO","almond","food","food","food","NOUN"
"w10043546CEO","almond","food","food","food","NOUN"
"10106732BM","almond","food","food","food","NOUN"
"10106732BM","almond","food","food","food","NOUN"
"10106732BM","almond","nut","nut","nut","ADV"
"w10043546CEO","almond","pastries","pastries","pastry","NOUN"
"10106732BM","almond","salty","salty","salty","ADJ"
"10106732BM","almond","snack","snack","snack","VERB"
"10106732BM","almond","snack","snack","snack","VERB"
"w10043546CEO","almond","snack","snack","snack","VERB"
"w10043546CEO","almond","snack","snack","snack","VERB"
"10111968","altar","marraige","marriage","marriage","NOUN"
"w10141910","altar","marriage","marriage","marriage","VERB"
"w10141910","altar","wedding","wedding","wedding","VERB"
"w10137767_tac","altarpiece","put on alter","alter","alter","NOUN"
"w10137767_tac","altarpiece","put on alter","put","put","VERB"
"w10110732","altarpiece","sacrifice","sacrifice","sacrifice","NOUN"
"w10137767_tac","altarpiece","to pray","pray","pray","VERB"
"w10137767_tac","altarpiece","use in ceremony","ceremony","ceremony","VERB"
"w10137767_tac","altarpiece","use in ceremony","use","use","VERB"
"w10129236_kj","ambulance","carry patients","carry","carry","VERB"
"w10129236_kj","ambulance","carry patients","patients","patient","NOUN"
"w10100732_AD","ambulance","carry","carry","carry","VERB"
"w10129236_kj","ambulance","emergency","emergency","emergency","NOUN"
"w10123187_kb","ambulance","help","help","help","VERB"
"w10100732_AD","ambulance","provide","provide","provide","VERB"
"w10123187_kb","ambulance","ride","ride","ride","VERB"
"w10100732_AD","ambulance","save","save","save","VERB"
"w10118246CHC","ammo","blown","blown","blow","VERB"
"w10118246CHC","ammo","debated on","debated","debate","VERB"
"w10118246CHC","ammo","dissected","dissected","dissect","VERB"
"w10118246CHC","ammo","thrown","thrown","throw","VERB"
"10138473","ammunition","made","made","make","VERB"
"w10133128_KC","amphetamine","drug use","drug","drug","NOUN"
"w10133128_KC","amphetamine","drug use","use","use","VERB"
"w10071291BY","amphetamine","use","use","use","VERB"
"w214176_hdb","amphibian","hold","hold","hold","VERB"
"w214176_hdb","amphibian","pet","pet","pet","VERB"
"w214176_hdb","amphibian","play with","play","play","VERB"
"w10130203_sbv","amphibian","staring","staring","stare","VERB"
"10140980CH","amulet","wearing","wearing","wear","VERB"
"w10134066","anchor","catch","catch","catch","VERB"
"w10139861_CNW","anchor","make something drown","drown","dry","VERB"
"w10139861_CNW","anchor","make something drown","make","make","VERB"
"w10139861_CNW","anchor","make something drown","something","something","PRON"
"w10134066","anchor","throw","throw","throw","VERB"
"w10130700_kac","anchovy","cook","cook","cake","VERB"
"w10141284_kjb","anchovy","discard","discard","discard","VERB"
"w10130700_kac","anchovy","eat","eat","eat","VERB"
"w10130700_kac","anchovy","eat","eat","eat","VERB"
"w10130700_kac","anchovy","eat","eat","eat","VERB"
"w10141284_kjb","anchovy","eat","eat","eat","VERB"
"w10141284_kjb","anchovy","eat","eat","eat","VERB"
"w10141284_kjb","anchovy","eat","eat","eat","VERB"
"w10053855_kns","anchovy","eat","eat","eat","VERB"
"w10053855_kns","anchovy","eat","eat","eat","VERB"
"w10053855_kns","anchovy","eat","eat","eat","VERB"
"w10053855_kns","anchovy","fish","fish","fish","VERB"
"w10130700_kac","anchovy","throw away","away","away","ADV"
"w10141284_kjb","anchovy","throw","throw","throw","VERB"
"w10095061_jdn","animal","attacked","attacked","attack","VERB"
"w10095061_jdn","animal","caged","caged","cage","VERB"
"w10095061_jdn","animal","held","held","hold","VERB"
"w10095122_hr","animal","keep","keep","keep","VERB"
"w10095068","animal","kill","kill","kill","VERB"
"w10128965ER","animal","pet","pet","pet","VERB"
"w10128965ER","animal","pet","pet","pet","VERB"
"w10095122_hr","animal","pet","pet","pet","VERB"
"w10095122_hr","animal","pet","pet","pet","VERB"
"w10128965ER","animal","play with","play","play","VERB"
"w10128965ER","animal","play with","play","play","VERB"
"w10095068","animal","play with","play","play","VERB"
"w10095068","animal","play with","play","play","VERB"
"w10095068","animal","raise","raise","raise","VERB"
"w10095061_jdn","animal","seen","seen","see","VERB"
"w10095068","animal","take care of","care","care","VERB"
"w10095068","animal","take care of","care","care","VERB"
"w10095122_hr","animal","take care of","care","care","VERB"
"w10095122_hr","animal","take care of","care","care","VERB"
"w10095122_hr","animal","take care of","take","take","VERB"
"w10095122_hr","animal","take care of","take","take","VERB"
"w10095068","animal","take care of","take","take","VERB"
"w10095068","animal","take care of","take","take","VERB"
"w10128965ER","animal","train","train","train","VERB"
"w10095068","animal","watch","watch","watch","VERB"
"w10064133_JDH","ankle","driving","driving","drive","VERB"
"w10064133_JDH","ankle","jumping","jumping","jump","VERB"
"w10064133_JDH","ankle","moving","moving","move","VERB"
"w10136251","ankle","part of foot","foot","foot","NOUN"
"w10136251","ankle","part of foot","part","part","NOUN"
"w10064133_JDH","ankle","running","running","run","VERB"
"w10064133_JDH","ankle","walking","walking","walk","NOUN"
"w10133928","anklet","accesorize","accessorize","accessorize","VERB"
"w10136388","anklet","bought","bought","buy","VERB"
"w10113823_DH","anklet","break","break","break","VERB"
"w10113823_DH","anklet","buy","buy","buy","VERB"
"w10113823_DH","anklet","purchase","purchase","purchase","VERB"
"w10113823_DH","anklet","sell","sell","sell","VERB"
"w10113823_DH","anklet","sell","sell","sell","VERB"
"w10133928","anklet","sell","sell","sell","VERB"
"w10133928","anklet","sell","sell","sell","VERB"
"w10136388","anklet","used","used","use","VERB"
"w10113823_DH","anklet","wear","wear","wear","VERB"
"w10113823_DH","anklet","wear","wear","wear","VERB"
"w10133928","anklet","wear","wear","wear","VERB"
"w10133928","anklet","wear","wear","wear","VERB"
"w10060037","anklet","worn","worn","wear","VERB"
"w10156073_sb","antenna","art work ","art","art","NOUN"
"w10156073_sb","antenna","art work ","work","work","NOUN"
"w10156073_sb","antenna","detect movement","detect","detect","VERB"
"w10156073_sb","antenna","detect movement","movement","movement","VERB"
"w10156073_sb","antenna","detect sound","detect","detect","VERB"
"w10156073_sb","antenna","detect sound","sound","sound","VERB"
"w10156073_sb","antenna","find signal","find","find","VERB"
"w10156073_sb","antenna","find signal","signal","signal","NOUN"
"w10090639","antenna","listen","listen","listen","VERB"
"w10090639","antenna","listen","listen","listen","VERB"
"w10105965","antenna","listen","listen","listen","VERB"
"w10105965","antenna","listen","listen","listen","VERB"
"w10105965","antenna","music","music","music","VERB"
"W10135983RS","antibiotics","take them","take","take","VERB"
"w10063218_acs","antibiotics","treat illness","illness","illness","NOUN"
"w10063218_acs","antibiotics","treat illness","treat","treat","VERB"
"w10051899_vpm","antihistamine","drug treatment","drug","drug","NOUN"
"w10051899_vpm","antihistamine","drug treatment","treatment","treatment","NOUN"
"w10156253","antihistamine","drug","drug","drug","NOUN"
"w10048138_mts","antihistamine","pain relief ","pain","pain","NOUN"
"w10048138_mts","antihistamine","pain relief ","relief","relief","VERB"
"w10140660-mmr","antique","family memories","family","family","NOUN"
"w10140660-mmr","antique","to cook","cook","cake","VERB"
"w10140660-mmr","antique","to look at","look","look","VERB"
"w925012_jfb","antiques","bribe your grandmother","bribe","bribe","VERB"
"w925012_jfb","antiques","bribe your grandmother","grandmother","grandmother","NOUN"
"w925012_jfb","antiques","collect","collect","collect","VERB"
"w925012_jfb","antiques","sell","sell","sell","VERB"
"w925012_jfb","antiques","shop for","shop","shop","VERB"
"w925012_jfb","antiques","trade","trade","trade","VERB"
"10140980CH","anus","pooping","pooping","poop","VERB"
"w10154001","anus","popping","popping","pop","VERB"
"W10024445BC","anvil","education","education","education","NOUN"
"w10038845_asg","anvil","for cartoons","cartoons","cartoon","NOUN"
"W10024445BC","anvil","medieval movie","medieval","medieval","NOUN"
"W10024445BC","anvil","medieval movie","movie","movie","NOUN"
"W10024445BC","anvil","movie","movie","movie","NOUN"
"W10024445BC","anvil","play","play","play","VERB"
"w10140980_cph","apartment","cook","cook","cake","VERB"
"w10140980_cph","apartment","sleep","sleep","sleep","VERB"
"w10114716_bmg","apartments","decorating","decorating","decorate","VERB"
"w10114716_bmg","apartments","friend","friend","friend","NOUN"
"w10138405AH","apartments","living","living","live","NOUN"
"w10138405AH","apartments","living","living","live","VERB"
"w10114716_bmg","apartments","living","living","live","NOUN"
"w10114716_bmg","apartments","living","living","live","VERB"
"10142102andKR","apparatus","food","food","food","NOUN"
"w10038845_asg","apparatus","for labs","labs","lab","NOUN"
"W10024445BC","apparatus","scary movie","movie","movie","NOUN"
"W10024445BC","apparatus","scary movie","scary","scary","ADJ"
"W10024445BC","apparatus","spiritual","spiritual","spiritual","ADJ"
"w10042527_rkw","apparel","covering","covering","cover","VERB"
"w10140932","apparel","looks","looks","look","VERB"
"w10042527_rkw","apparel","wearing","wearing","wear","VERB"
"w10141910","appendage","arms","arms","arms","NOUN"
"w10141910","appendage","bandage","bandage","bandage","NOUN"
"w10141910","appendage","legs","legs","leg","NOUN"
"w676610_ks","appetizer","drinking","drinking","drink","VERB"
"w676610_ks","appetizer","eating","eating","eat","VERB"
"w10128098","apple","cutting","cutting","cut","VERB"
"w10142111_AS","apple","eat","eat","eat","VERB"
"w10128098","apple","eating","eating","eat","VERB"
"w10142111_AS","apple","make apple pie","apple","apple","NOUN"
"w10142111_AS","apple","make apple pie","make","make","VERB"
"w10142111_AS","apple","make apple pie","pie","pie","NOUN"
"w10128098","apple","slicing","slicing","slice","VERB"
"w10107621_ssm","appliance","buy","buy","buy","VERB"
"w10107621_ssm","appliance","clean","clean","clean","VERB"
"w10107621_ssm","appliance","cook","cook","cake","VERB"
"110106584_aa","appliance","cooking","cooking","cook","VERB"
"w10107621_ssm","appliance","give away","away","away","ADV"
"w10107621_ssm","appliance","give away","give","give","VERB"
"w10107621_ssm","appliance","repair","repair","repair","VERB"
"w10107621_ssm","appliance","sell","sell","sell","VERB"
"w10108610_ljd","appliance","shop","shop","shop","VERB"
"w10107621_ssm","appliance","use","use","use","VERB"
"w10139268AS","appraiser","apraised","appraise","appraise","VERB"
"w10094701_sde","appraiser","make opinion","make","make","VERB"
"w10094701_sde","appraiser","make opinion","opinion","opinion","NOUN"
"w10138416_eak","apprentice","learn","learn","learn","VERB"
"w10144509","apprentice","teach","teach","teach","VERB"
"w10107621_ssm","apricot","buy","buy","buy","VERB"
"w10107621_ssm","apricot","cook","cook","cake","VERB"
"w10107621_ssm","apricot","drink","drink","drink","VERB"
"w10108610_ljd","apricot","eat","eat","eat","VERB"
"w10108610_ljd","apricot","eat","eat","eat","VERB"
"w10107621_ssm","apricot","eat","eat","eat","VERB"
"w10107621_ssm","apricot","eat","eat","eat","VERB"
"110106584_aa","apricot","eating","eating","eat","VERB"
"110106584_aa","apricot","growing","growing","grow","VERB"
"110106584_aa","apricot","jam","jam","jam","NOUN"
"w10107621_ssm","apricot","plant","plant","plant","VERB"
"w10107621_ssm","apricot","sell","sell","sell","VERB"
"w10095068","apron","buy ","buy","buy","VERB"
"w10095068","apron","cook in","cook","cake","VERB"
