Cue,Answer,Shuffle,Stimuli Notes,Value
abacus,,ON,4.666666667,1
abdomen,,ON,5.434782609,2
absinthe,,ON,4.590909091,3
accessory,,ON,4.72,4
accordion,,ON,5.826086957,5
accountant,,ON,4.666666667,6
acne,,ON,4.391304348,7
acorn,,ON,5.28,8
acrobat,,ON,5.043478261,9
actor,,ON,4.739130435,10
actress,,ON,4.92,11
acupuncture,,ON,5.285714286,12
adapter,,ON,4.583333333,13
addict,,ON,4.391304348,14
adult,,ON,5.409090909,15
advisor,,ON,4.347826087,16
afro,,ON,4.52,17
aftershave,,ON,5.375,18
aircraft,,ON,4.925925926,19
aircraftsman,,ON,4.52,20
airman,,ON,4.36,21
airplane,,ON,4.625,22
album,,ON,5.791666667,23
alcohol,,ON,5.833333333,24
ale,,ON,4.962962963,25
alfalfa,,ON,5.045454545,26
algae,,ON,4.458333333,27
almanac,,ON,5.5,28
almond,,ON,5.714285714,29
altar,,ON,4.782608696,30
altarpiece,,ON,4.80952381,31
aluminum,,ON,5.083333333,32
ambulance,,ON,5,33
ammo,,ON,5.32,34
ammunition,,ON,4.592592593,35
amphetamine,,ON,4.291666667,36
amphibian,,ON,4.357142857,37
amulet,,ON,5.291666667,38
anchor,,ON,5.739130435,39
anchovy,,ON,4.428571429,40
animal,,ON,5.958333333,41
ankle,,ON,5.833333333,42
anklet,,ON,5.708333333,43
announcer,,ON,4.296296296,44
ant,,ON,4.84,45
antenna,,ON,4.695652174,46
antennae,,ON,4.538461538,47
antibiotics,,ON,4.956521739,48
antihistamine,,ON,5.260869565,49
antique,,ON,4.423076923,50
antiques,,ON,4.68,51
antiseptics,,ON,5.041666667,52
anus,,ON,5.16,53
anvil,,ON,5.24,54
apartment,,ON,4.6,55
apartments,,ON,4.851851852,56
apparatus,,ON,4.636363636,57
apparel,,ON,5.695652174,58
appendage,,ON,5,59
appetizer,,ON,6.12,60
apple,,ON,6.272727273,61
appliance,,ON,5.791666667,62
applicator,,ON,5.185185185,63
appraiser,,ON,4.428571429,64
apprentice,,ON,4.321428571,65
apricot,,ON,6.291666667,66
apron,,ON,5.96,67
aquarium,,ON,5.782608696,68
arachnid,,ON,4.904761905,69
archives,,ON,4.333333333,70
arm,,ON,6.47826087,71
armband,,ON,5.347826087,72
armoire,,ON,4.904761905,73
armor,,ON,5.333333333,74
armpit,,ON,5.52,75
arrow,,ON,4.92,76
arrowhead,,ON,4.44,77
artichoke,,ON,5.708333333,78
artifact,,ON,4.416666667,79
artist,,ON,4.782608696,80
ash,,ON,4.333333333,81
