Stimuli.Cue,affordance_parsed,word,lemma,POS,Source
customer,to buy things,buy,buy,VERB,
customer,to buy things,things,thing,NOUN,UCONN
shrimp,to cook,cook,cake,VERB,
shrimp,clean,clean,clean,VERB,
shrimp,to sail and find,sail,sail,VERB,
shrimp,to sail and find,find,find,VERB,
teammate,to collaborate,collaborate,collaborate,VERB,
teammate,build a friendship,build,build,NOUN,UCONN
teammate,build a friendship,friendship,friendship,VERB,
teammate,perform,perform,perform,VERB,
teammate,win,win,win,VERB,
teammate,lose,lose,lose,VERB,
valve,drain,drain,drain,VERB,
valve,drink,drink,drink,VERB,
valve,open,open,open,VERB,
valve,close,close,close,VERB,
altar,a situation,situation,situation,NOUN,UCONN
altar,an outcome,outcome,outcome,NOUN,UCONN
altar,a problem,problem,problem,NOUN,UCONN
appendage,to live,live,live,VERB,
leash,to control,control,control,VERB,
pouch,storage,storage,store,VERB,
library,to read,read,read,VERB,
library,to study,study,study,VERB,
library,to learn,learn,learn,VERB,
library,to understand,understand,understand,VERB,
library,to find,find,find,VERB,
dishwater,to reuse,reuse,reuse,VERB,
dishwater,to clean,clean,clean,VERB,
dishwater,to remove,remove,remove,VERB,
dishwater,to drain ,drain,drain,VERB,
chicken,to eat,eat,eat,VERB,
chicken,to capture,capture,capture,VERB,
chicken,to raise,raise,raise,VERB,
chicken,to feed,feed,feed,VERB,
entertainer,to entertain,entertain,entertain,VERB,
entertainer,to transfix,transfix,transfix,SYM,
entertainer,to engage an audience,engage,engage,VERB,
entertainer,to engage an audience,audience,audience,NOUN,UCONN
entertainer,to gain money,gain,gain,VERB,
entertainer,to gain money,money,money,NOUN,UCONN
soy,for milk,milk,milk,VERB,
soy,to drink,drink,drink,VERB,
soy,to eat,eat,eat,VERB,
steel,to build,build,build,NOUN,UCONN
steel,to clean,clean,clean,VERB,
stairs,to climb,climb,climb,VERB,
stairs,for access,access,access,VERB,
chowder,to eat,eat,eat,VERB,
computer,to search for information,search,search,VERB,
computer,to search for information,information,inform,VERB,
computer,to take notes,take,take,VERB,
computer,to take notes,notes,note,VERB,
computer,to explore,explore,explore,VERB,
computer,to carry,carry,carry,VERB,
computer,to store,store,store,VERB,
brandy,to buy,buy,buy,VERB,
basement,storage,storage,store,VERB,
basement,to live in,live,live,VERB,
basement,to rent,rent,rent,VERB,
bunion,to remove,remove,remove,VERB,
stationery,to use,use,use,VERB,
stationery,to write,write,write,VERB,
stationery,to take notes,take,take,VERB,
stationery,to take notes,notes,note,VERB,
pearl,to wear,wear,wear,VERB,
pearl,to find,find,find,VERB,
pearl,to buy,buy,buy,VERB,
scab,to pick,pick,pick,VERB,
shuffleboard,to play with,play,play,VERB,
shuffleboard,to go somewhere,go,go,VERB,
shuffleboard,to go somewhere,somewhere,somewhere,ADV,
ship,to go somewhere,go,go,VERB,
ship,to go somewhere,somewhere,somewhere,ADV,
ship,to store,store,store,VERB,
ship,to cruise,cruise,cruise,VERB,
ship,to relax,relax,relax,VERB,
sundae,eat,eat,eat,VERB,
sundae,decorate,decorate,decorate,VERB,
sundae,look at,look,look,VERB,
sundae,lick,lick,lick,VERB,
sundae,hold,hold,hold,VERB,
conditioner,wash,wash,wash,VERB,
conditioner,squirt,squirt,squirt,VERB,
scrotum,fondle,fondle,fondle,VERB,
scrotum,wash,wash,wash,VERB,
scrotum,lick,lick,lick,VERB,
scrotum,touch,touch,touch,VERB,
mantle,put things on,put,put,VERB,
mantle,put things on,things,thing,NOUN,UCONN
mantle,look at,look,look,VERB,
mantle,decorate,decorate,decorate,VERB,
flooring,step on,step,step on,VERB,
flooring,clean,clean,clean,VERB,
flooring,dance on,dance,dance,VERB,
flooring,design,design,design,VERB,
flooring,paint,paint,paint,VERB,
flooring,furnish,furnish,furnish,VERB,
ear,listen,listen,listen,VERB,
ear,pierce,pierce,pierce,VERB,
ear,clean,clean,clean,VERB,
beard,brush,brush,brush,VERB,
beard,shave,shave,shave,VERB,
beard,cut,cut,cut,VERB,
douche,clean,clean,clean,VERB,
douche,wash,wash,wash,VERB,
scraper,scrape,scrape,scrape,VERB,
scraper,dig,dig,dig,VERB,
scraper,puncture,puncture,puncture,VERB,
femur,break,break,break,VERB,
femur,fracture,fracture,fracture,VERB,
femur,strengthen,strengthen,strengthen,VERB,
lance,wield,wield,wield,VERB,
lance,hold,hold,hold,VERB,
lance,puncture,puncture,puncture,VERB,
woodwind,play music,play,play,VERB,
woodwind,play music,music,music,NOUN,UCONN
woodwind,hold,hold,hold,VERB,
woodwind,design,design,design,VERB,
spreader,spread,spread,spread,VERB,
spreader,slice,slice,slice,VERB,
bodybuilder,muscle,muscle,muscle,NOUN,UCONN
bodybuilder,lift,lift,lift,VERB,
bodybuilder,weights,weights,weight,NOUN,UCONN
bodybuilder,protein,protein,protein,NOUN,UCONN
sharpener,sharpen,sharpen,sharpen,VERB,
sharpener,puncture,puncture,puncture,VERB,
sharpener,stab,stab,stab,VERB,
wingman,flirt,flirt,flirt,VERB,
wingman,man,man,man,NOUN,UCONN
wingman,date,date,date,NOUN,UCONN
leaves,fall,fall,fall,NOUN,UCONN
leaves,trees,trees,tree,NOUN,UCONN
wolfhound,dog,dog,dog,NOUN,UCONN
wolfhound,sniff,sniff,sniff,VERB,
wolfhound,eat,eat,eat,VERB,
helmet,protect,protect,protect,VERB,
helmet,head,head,head,NOUN,UCONN
helmet,bike,bike,bike,NOUN,UCONN
visor,sun,sun,sun,NOUN,UCONN
visor,eyes,eyes,eyes,NOUN,UCONN
visor,hat,hat,hat,NOUN,UCONN
bookmarker,read,read,read,VERB,
bookmarker,keep your place,keep,keep,VERB,
bookmarker,keep your place,place,place,NOUN,UCONN
pacemaker,chest,chest,chest,NOUN,UCONN
pacemaker,heart rate,heart,heart rate,NOUN,UCONN
detonator,explode,explode,explode,VERB,
detonator,timer,timer,timer,NOUN,UCONN
juice,drink,drink,drink,VERB,
juice,pour,pour,pour,VERB,
juice,spill,spill,spill,VERB,
pharmacy,shop,shop,shop,VERB,
pharmacy,medicine,medicine,medicine,NOUN,UCONN
pharmacy,work,work,work,NOUN,UCONN
lounge,sleep,sleep,sleep,VERB,
lounge,rest,rest,rest,VERB,
lounge,watch tv,watch,watch,VERB,
lounge,watch tv,tv,tv,X,
pasta,eat,eat,eat,VERB,
pasta,cook,cook,cake,VERB,
pasta,season,season,season,VERB,
souffle,eat,eat,eat,VERB,
souffle,cook,cook,cake,VERB,
souffle,fire,fire,fire,NOUN,UCONN
omelette,cook,cook,cake,VERB,
omelette,scramble,scramble,scramble,VERB,
omelette,mix,mix,mix,VERB,
cork,stop,stop,stop,VERB,
cork,clog,clog,clog,NOUN,UCONN
cork,unscrew,unscrew,unscrew,VERB,
jumper,wear,wear,wear,VERB,
jumper,use it to keep warm,use,use,VERB,
jumper,use it to keep warm,keep,keep,VERB,
jumper,use it to keep warm,warm,warm,VERB,
jumper,look nice,look,look,VERB,
jumper,look nice,nice,nice,ADJ,
wristband,fling it around,fling,fling,VERB,
wristband,fling it around,around,around,ADV,
wristband,hair tie,hair,hair,NOUN,UCONN
wristband,hair tie,tie,tie,NOUN,UCONN
atlas,study maps,study,study,VERB,
atlas,study maps,maps,map,NOUN,UCONN
atlas,look at maps,look,look,VERB,
atlas,look at maps,maps,map,NOUN,UCONN
atlas,learn from it,learn,learn,VERB,
tunic,wear,wear,wear,VERB,
tunic,clothing ,clothing,clothing,NOUN,UCONN
matchwood,fires,fires,fire,NOUN,UCONN
matchwood,wood chips,wood,wood,NOUN,UCONN
matchwood,wood chips,chips,chip,NOUN,UCONN
pail,carry things,carry,carry,VERB,
pail,carry things,things,thing,NOUN,UCONN
pail,build sand castles,build,build,VERB,
pail,build sand castles,sand,sand,NOUN,UCONN
pail,build sand castles,castles,castle,NOUN,UCONN
pail,hold items ,hold,hold,VERB,
pail,hold items ,items,item,NOUN,UCONN
clock,keep time,keep,keep,VERB,
clock,keep time,time,time,NOUN,UCONN
clock,decoration,decoration,decorate,VERB,
aquarium,house fish or other things,house,house,NOUN,UCONN
aquarium,house fish or other things,fish,fish,NOUN,UCONN
aquarium,house fish or other things,things,thing,NOUN,UCONN
aquarium,decoration,decoration,decorate,VERB,
aquarium,hold objects ,hold,hold,INTJ,
aquarium,hold objects ,objects,object,VERB,
awning,shade,shade,shade,VERB,
awning,rain prevention,rain,rain,NOUN,UCONN
awning,rain prevention,prevention,prevent,VERB,
walnut,eat,eat,eat,VERB,
walnut,feed to squirrels,feed,feed,NOUN,UCONN
walnut,feed to squirrels,squirrels,squirrel,NOUN,UCONN
walnut,cook with,cook,cake,VERB,
equipment,use for work,use,use,VERB,
equipment,use for work,work,work,NOUN,UCONN
equipment,school,school,school,NOUN,UCONN
equipment,play grounds,play,play,VERB,
equipment,play grounds,grounds,grounds,NOUN,UCONN
honeycomb,eat,eat,eat,VERB,
honeycomb,cook with,cook,cake,VERB,
licence,to drive,drive,drive,VERB,
licence,to fish,fish,fish,VERB,
sesame,cook with,cook,cake,VERB,
sesame,eat,eat,eat,VERB,
leaflet,research,research,research,VERB,
leather,make items,make,make,VERB,
leather,make items,items,item,NOUN,UCONN
leather,make clothing,make,make,VERB,
leather,make clothing,clothing,clothing,NOUN,UCONN
leather,make boots,make,make,VERB,
leather,make boots,boots,boot,NOUN,UCONN
sixpence,money,money,money,NOUN,UCONN
saucepan,cook with,cook,cake,VERB,
scrapbook,save memories,save,save,VERB,
scrapbook,save memories,memories,memory,NOUN,UCONN
scrapbook,be creative ,creative,create,VERB,
cornflakes,cook with,cook,cake,VERB,
cornflakes,eat,eat,eat,VERB,
stomach,digest food,digest,digest,VERB,
stomach,digest food,food,food,NOUN,UCONN
dustbin,throw stuff out,throw,throw out,VERB,
dustbin,throw stuff out,stuff,stuff,NOUN,UCONN
dustbin,hold items ,hold,hold,VERB,
dustbin,hold items ,items,item,NOUN,UCONN
lad,a boy,boy,boy,NOUN,UCONN
educator,learn from,learn,learn,VERB,
educator,listen to,listen,listen,VERB,
educator,get taught by,get,get,VERB,
educator,get taught by,taught,tatch,VERB,
pamphlet,learn information,learn,learn,VERB,
pamphlet,learn information,information,inform,VERB,
pamphlet,learn about new things,learn,learn,VERB,
pamphlet,learn about new things,new,new,ADJ,
pamphlet,learn about new things,things,thing,NOUN,UCONN
stocking,fill with presents,fill,fill,NOUN,UCONN
stocking,fill with presents,presents,present,NOUN,UCONN
stocking,wear,wear,wear,VERB,
clerk,buy items from,buy,buy,VERB,
clerk,buy items from,items,item,NOUN,UCONN
pen,write with,write,write,VERB,
pen,take apart when bored ,take,take,VERB,
pen,take apart when bored ,apart,apart,ADV,
pen,take apart when bored ,bored,bore,VERB,
okra,eat,eat,eat,VERB,
okra,cook with,cook,cake,VERB,
backscratcher,scratch backs,scratch,scratch,VERB,
backscratcher,scratch backs,backs,back,NOUN,UCONN
tartar,eaten,eaten,eat,VERB,
tartar,scooped,scooped,scoope,VERB,
tartar,poured,poured,pour,VERB,
tartar,drank,drank,drink,VERB,
tartar,dipped,dipped,dip,VERB,
leg,straightened,straightened,straighten,VERB,
leg,bent,bent,bend,VERB,
leg,touched,touched,touch,VERB,
leg,broken,broken,break,VERB,
leg,fractured,fractured,fracture,VERB,
leg,cut ,cut,cut,VERB,
grater,used for cooking,used,use,VERB,
grater,used for cooking,cooking,cook,VERB,
grater,placed away,placed,place,VERB,
grater,placed away,away,away,ADV,
grater,touched,touched,touch,VERB,
magnolia,smelling,smelling,smell,VERB,
magnolia,looking,looking,look,VERB,
magnolia,picture taking,picture,picture,NOUN,UCONN
magnolia,picture taking,taking,take,VERB,
magnolia,decorating,decorating,decorate,VERB,
nightclub,dancing,dancing,dance,VERB,
nightclub,partying,partying,party,VERB,
nightclub,celebrating,celebrating,celebrate,VERB,
nightclub,drinking,drinking,drink,VERB,
pizza,eat,eat,eat,VERB,
pizza,bake,bake,bake,VERB,
pizza,cook,cook,cake,VERB,
pizza,create,create,create,VERB,
crane,build,build,build,VERB,
crane,dig,dig,dig,VERB,
crane,climb,climb,climb,VERB,
whiskey,drink,drink,drink,VERB,
whiskey,pour,pour,pour,VERB,
whiskey,spill,spill,spill,VERB,
cauldron,container,container,container,NOUN,UCONN
cauldron,pour,pour,pour,VERB,
shoulder,touch,touch,touch,VERB,
shoulder,rotate,rotate,rotate,VERB,
shoulder,break,break,break,VERB,
shoulder,bump,bump,bump,VERB,
pennant,decoration,decoration,decorate,VERB,
pennant,directions,directions,direction,NOUN,UCONN
pennant,tool,tool,tool,NOUN,UCONN
hairdo,create,create,create,VERB,
hairdo,design,design,design,NOUN,UCONN
hairdo,present,present,present,ADJ,
road,drive,drive,drive,VERB,
road,walk,walk,walk,VERB,
road,bike,bike,bike,NOUN,UCONN
road,paint,paint,paint,VERB,
road,color,color,color,NOUN,UCONN
road,jump,jump,jump,VERB,
medics,help,help,help,VERB,
medics,treatment,treatment,treatment,VERB,
skeleton,science,science,science,NOUN,UCONN
skeleton,decoration,decoration,decorate,VERB,
skeleton,studying,studying,study,VERB,
milk,drink,drink,drink,VERB,
milk,pour,pour,pour,VERB,
milk,sip,sip,sip,VERB,
milk,in cereal,cereal,cereal,NOUN,UCONN
milk,baking,baking,bake,VERB,
milk,cooking,cooking,cook,VERB,
tableware,dinner,dinner,dinner,NOUN,UCONN
tableware,decoration,decoration,decorate,VERB,
tableware,hold food,hold,hold,VERB,
tableware,hold food,food,food,NOUN,UCONN
peg,hold things together,hold,hold,VERB,
peg,hold things together,things,thing,NOUN,UCONN
peg,hold things together,together,together,ADV,
peg,hang something up,hang,hang,VERB,
peg,hang something up,something,something,PRON,
peg,placement,placement,place,VERB,
female,birth a child,birth,birth,VERB,
female,birth a child,child,child,NOUN,UCONN
female,dress up,dress,dress up,VERB,
female,cook,cook,cake,VERB,
female,clean,clean,clean,VERB,
female,drive,drive,drive,VERB,
spacesuit,costume,costume,costume,VERB,
spacesuit,safety,safety,safety,NOUN,UCONN
spacesuit,in space,space,space,NOUN,UCONN
spacesuit,astronauts ,astronauts,astronaut,NOUN,UCONN
editor,help,help,help,VERB,
editor,make things better,make,make,VERB,
editor,make things better,things,thing,NOUN,UCONN
editor,make things better,better,better,ADJ,
suds,soap,soap,soap,NOUN,UCONN
suds,bubbles,bubbles,bubble,NOUN,UCONN
plexiglas,decoration,decoration,decorate,VERB,
plexiglas,science,science,science,NOUN,UCONN
plexiglas,building,building,build,VERB,
catalogue,information,information,inform,VERB,
catalogue,learning,learning,learn,VERB,
catalogue,decoration,decoration,decorate,VERB,
chauffeur,drive people,drive,drive,VERB,
chauffeur,drive people,people,people,NOUN,UCONN
volleyball,play,play,play,VERB,
volleyball,throw,throw,throw,VERB,
volleyball,pass,pass,pass,VERB,
volleyball,catch,catch,catch,VERB,
volleyball,games,games,game,NOUN,UCONN
doorstop,hold door,hold,hold,VERB,
doorstop,hold door,door,door,NOUN,UCONN
footwear,cover feet,cover,cover,VERB,
footwear,cover feet,feet,foot,NOUN,UCONN
footwear,protection,protection,protect,VERB,
granite,countertop,counter,counter top,VERB,
granite,countertop,top,countertop,VERB,
granite,mining,mining,mine,VERB,
granite,slabs,slabs,slab,NOUN,UCONN
granite,decoration,decoration,decorate,VERB,
turtle,pet,pet,pet,NOUN,UCONN
sunglasses,block the sun,block,block,NOUN,UCONN
sunglasses,block the sun,sun,sun,NOUN,UCONN
mud,planting,planting,plan,VERB,
mud,mudding with cars,mudding,mud,VERB,
mud,mudding with cars,cars,cars,NOUN,UCONN
catsup,condiment,condiment,condiment,NOUN,UCONN
catsup,burger,burger,burger,NOUN,UCONN
catsup,fries,fries,fries,NOUN,UCONN
