CUE,RESPONSE,RESPONSE TOKEN,RESPONSE LEMMA,POS
accessory,useful,useful,useful,ADJ
accordion,musical tone,musical,musical,ADJ
accordion,musical tone,tone,tone,NOUN
accountant,advisor,advisor,advisor,NOUN
accountant,banker,banker,banker,NOUN
acrobat,watched,watched,watch,VERB
actor,for acting,acting,act,VERB
actress,act,act,act,VERB
actress,theater,theater,theater,NOUN
actress,tv,tv,tv,NOUN
actress,movie,movie,movie,NOUN
actress,pretend,pretend,pretend,VERB
acupuncture,pain,pain,pain,NOUN
acupuncture,stress,stress,stress,NOUN
acupuncture,effect chi flow,effect,effect,VERB
acupuncture,effect chi flow,chi,chi,NOUN
acupuncture,effect chi flow,flow,flow,NOUN
acupuncture,quit smoking,quit,quit,VERB
acupuncture,quit smoking,smoking,smoke,NOUN
adapter,charging,charging,charge,VERB
addict,use them as an experiment to help,use,use,VERB
addict,use them as an experiment to help,experiment,experiment,NOUN
addict,use them as an experiment to help,help,help,VERB
adult,pay bills,pay,pay,VERB
adult,pay bills,bills,bill,NOUN
aircraft,transportation,transportation,transportation,NOUN
airplane,fly,fly,fly,VERB
airplane,hijack,hijack,hijack,VERB
alcohol,giving out to people,giving,give,VERB
alcohol,giving out to people,people,people,NOUN
alcohol,fermenting,fermenting,ferment,VERB
altarpiece,religious use,religious,religious,ADJ
altarpiece,religious use,use,use,NOUN
altarpiece,depict a subject,depict,depict,VERB
altarpiece,depict a subject,subject,subject,NOUN
aluminum,wrap,wrap,wrap,VERB
aluminum,science experiments,science,science,NOUN
aluminum,science experiments,experiments,experiment,NOUN
ammo,for a gun,gun,gun,NOUN
ammo,shooting a target,shooting,shoot,VERB
ammo,shooting a target,target,target,NOUN
ammo,harming someone,harming,harm,VERB
amulet,use it to bring you good luck,use,use,VERB
amulet,use it to bring you good luck,bring,bring,VERB
amulet,use it to bring you good luck,good,good,ADJ
amulet,use it to bring you good luck,luck,luck,NOUN
announcer,broadcast,broadcast,broadcast,VERB
ant,bug,bug,bug,NOUN
antennae,sensory,sensory,sensory,ADJ
antennae,motion,motion,motion,NOUN
antennae,heat,heat,heat,NOUN
antennae,vibration,vibration,vibrate,VERB
antennae,tv channels,tv,tv,NOUN
antennae,tv channels,channels,channel,NOUN
antennae,radio,radio,radio,NOUN
antennae,wifi,wifi,wifi,NOUN
antibiotics,medicine,medicine,medicine,NOUN
antibiotics,make you feel better,make,make,VERB
