Cue,Answer,Shuffle,Stimuli Notes,Value,Rand
decor,,1,4.538461538,764,0.261476603
seat,,2,6.416666667,2301,0.945985105
mint,,3,5.76,1666,0.330502966
lanyard,,4,5.416666667,1464,0.391267155
merchandise,,5,5.833333333,1647,0.48521541
joint,,6,4.375,1389,0.172930083
bread,,7,6.230769231,308,0.981109369
petticoat,,8,5.454545455,1935,0.125396232
solicitor,,9,4.875,2448,0.423270691
briefcase,,10,6.25,323,0.73335018
tit,,11,5.92,2708,0.629763414
sandbox,,12,5.777777778,2235,0.168486135
florist,,13,4.444444444,1011,0.860315666
tomahawk,,14,4.958333333,2722,0.368202979
grease,,15,4.666666667,1168,0.129741388
hosiery,,16,5.565217391,1319,0.287274537
map,,17,5.481481481,1600,0.476399064
orangutan,,18,4.666666667,1815,0.413937663
handrail,,19,5.227272727,1241,0.629851612
wishbone,,20,5.458333333,2953,0.249710528
bloomers,,21,4.4,243,0.879020377
Massage,,22,4.826086957,1618,0.113902737
ladle,,23,4.84,1448,0.448711971
cayenne,,24,5.347826087,469,0.48837589
boa,,25,4.333333333,252,0.347548191
stationary,,26,4.727272727,2510,0.797812576
parsley,,27,5.434782609,1877,0.096670334
tablespoon,,28,5.142857143,2618,0.332046282
pin,,29,5.88,1967,0.018459114
spyglass,,30,5.64,2491,0.148115672
courtyard,,31,4.392857143,668,0.714936931
newscaster,,32,4.347826087,1757,0.595175497
lettuce,,33,6.083333333,1497,0.692615167
yourself,,34,5.583333333,2998,0.504476823
bottle,,35,5.464285714,287,0.648959205
satchel,,36,5.583333333,2245,0.682973727
goalpost,,37,4.84,1121,0.199203882
skittles,,38,5.24,2402,0.06527123
barman,,39,4.818181818,150,0.478634366
turban,,40,5.148148148,2799,0.680797852
boot,,41,6.555555556,281,0.153320127
teabag,,42,6.32,2642,0.384323611
toy,,43,6.08,2750,0.595966616
choreographer,,44,4.826086957,535,0.955772762
hotplate,,45,5.230769231,1323,0.512471955
godmother,,46,5.19047619,1128,0.679960661
mice,,47,5,1653,0.813855277
dolphin,,48,4.52,817,0.223119321
yogurt,,49,6.347826087,2994,0.675214554
coverall,,50,4.739130435,670,0.633267106
prankster,,51,4.642857143,2058,0.516126599
gondola,,52,4.916666667,1137,0.75699281
blower,,53,4.48,245,0.100535723
gunpowder,,54,4.96,1201,0.163221051
antibiotics,,55,4.956521739,48,0.731549393
tripe,,56,4.7,2778,0.883826576
trap,,57,4.695652174,2762,0.942630662
undergarment,,58,6.074074074,2822,0.498329355
assemblyman,,59,4.72,89,0.034188339
rainwater,,60,5.407407407,2133,0.78433646
plastics,,61,5,1995,0.297611551
pinecone,,62,5.821428571,1972,0.647636876
tights,,63,5.956521739,2696,0.229279242
postmaster,,64,5.2,2045,0.553054431
backbone,,65,4.64,113,0.193301397
stake,,66,4.36,2503,0.391571319
stone,,67,5.875,2545,0.16935575
plow,,68,5,2008,0.897588843
sportswriter,,69,4.32,2484,0.788241169
cart,,70,5.4,442,0.978148159
rink,,71,4.333333333,2171,0.641556175
police,,72,4.739130435,2021,0.71377516
rack,,73,4.68,2119,0.859929905
dogcatcher,,74,4.72,812,0.011096937
litter,,75,5.034482759,1526,0.130915448
spit,,76,4.391304348,2476,0.828123751
stuff,,77,4.391304348,2574,0.106746219
perfume,,78,4.96,1926,0.460539621
sash,,79,4.916666667,2244,0.813802173
lilac,,80,5,1508,0.204621036
limestone,,81,4.565217391,1515,0.357597243
fastener,,82,4.347826087,950,0.481228199
postage,,83,4.32,2041,0.504174346
curtain,,84,5.875,732,0.795847806
overcoat,,85,6.52,1832,0.794942896
businesswoman,,86,5.08,371,0.22831517
delicatessen,,87,4.347826087,768,0.964513541
lumber,,88,5.217391304,1557,0.027089463
crumb,,89,4.45,714,0.473160418
footplate,,90,4.875,1038,0.590943274
housecoat,,91,5.653846154,1329,0.879948299
valet,,92,4.625,2834,0.128717005
chalice,,93,5.208333333,490,0.93770869
yam,,94,5.259259259,2989,0.89961033
daybed,,95,5.28,761,0.138632098
scalpel,,96,5.545454545,2263,0.063596043
windowsill,,97,5.391304348,2944,0.762834183
lounger,,98,4.692307692,1551,0.8649799
drumstick,,99,5.708333333,855,0.1283264
bloke,,100,4.541666667,240,0.465962689
pacifier,,101,6.090909091,1836,0.787837108
blouse,,102,6.47826087,244,0.637010138
ashtray,,103,5.44,84,0.252057786
pool,,104,6.041666667,2033,0.323434189
hippie,,105,4.56,1292,0.109871009
blazer,,106,5.652173913,233,0.291050238
kissing,,107,5.458333333,1423,0.486295703
sock,,108,5.833333333,2439,0.34499283
stove,,109,5.75,2555,0.06185654
fireplace,,110,5.458333333,986,0.340651121
chessboard,,111,6.04,512,0.022831047
Robot,,112,4.861185984,2182,0.615183644
step,,113,5.2,2522,0.855940638
cube,,114,4.75,721,0.382136645
cable,,115,4.913043478,390,0.962937957
preschooler,,116,4.409090909,2059,0.435620803
fleece,,117,4.5,1006,0.638440057
nephew,,118,5.16,1750,0.027468228
calf,,119,5.08,402,0.030067237
grits,,120,5.291666667,1177,0.650827048
figurine,,121,5.791666667,973,0.03998685
medication,,122,6.28,1637,0.689498349
waste,,123,4.318181818,2903,0.192088069
copper,,124,4.833333333,638,0.549670749
pedal,,125,5.04,1900,0.012619648
sandbank,,126,4.52,2234,0.16035416
tranquilizers,,127,4.607142857,2761,0.821162254
watercress,,128,4.782608696,2910,0.65261601
bazooka,,129,5.041666667,175,0.357199657
Picture Frame,,130,,3002,0.356895476
playsuit,,131,5.36,2003,0.404603014
cabbage,,132,5.608695652,386,0.325095127
worker,,133,5.086956522,2971,0.589394286
hoop,,134,5.296296296,1310,0.74583685
laryngoscope,,135,4.411764706,1467,0.485337296
keyhole,,136,5.44,1413,0.406137653
sheepskin,,137,4.928571429,2330,0.621252368
woodwork,,138,5.12,2966,0.663344397
pomegranate,,139,5.391304348,2026,0.369576509
antiques,,140,4.68,51,0.461950375
stableman,,141,4.375,2495,0.024282326
postman,,142,4.913043478,2044,0.01460871
cedar,,143,4.583333333,470,0.107709949
wristlet,,144,5.428571429,2984,0.95091675
powderpuff,,145,4.923076923,2055,0.604936304
prosecutor,,146,4.64,2078,0.373078665
paprika,,147,4.428571429,1867,0.923363889
doll,,148,6.434782609,814,0.883086008
crutch,,149,5.8,717,0.131827503
eyepiece,,150,5.8,937,0.594546173
bicep,,151,5.666666667,209,0.894670762
screw,,152,5.708333333,2286,0.354129595
family,,153,5.291666667,944,0.967521962
chronograph,,154,4.684210526,538,0.574977468
tinfoil,,155,5.458333333,2703,0.677843929
bathe,,156,5.214285714,168,0.590683649
pilaf,,157,4.7,1959,0.18002119
chinaware,,158,5.913043478,527,0.987997305
parsnip,,159,5.666666667,1878,0.217047994
desert,,160,4.291666667,779,0.522113996
physician,,161,5.12,1945,0.324749543
myself,,162,5.038461538,1731,0.310058292
van,,163,6.28,2836,0.923120289
