"Username","Condition.Description","Stimuli.Cue","Procedure.Trial.Type","affordance_parsed","word","lemma","POS"
"5495fbf9fdf99b50089f79d8","Version 96","licence","BOI","drive","drive","drive","VERB"
"5495fbf9fdf99b50089f79d8","Version 96","licence","BOI","buy alcohol","buy","buy","VERB"
"5495fbf9fdf99b50089f79d8","Version 96","licence","BOI","buy alcohol","alcohol","alcohol","NOUN"
"5495fbf9fdf99b50089f79d8","Version 96","licence","BOI","buy cigarettes","buy","buy","VERB"
"5495fbf9fdf99b50089f79d8","Version 96","licence","BOI","buy cigarettes","cigarettes","cigarettes","NOUN"
"5495fbf9fdf99b50089f79d8","Version 96","licence","BOI","travel","travel","travel","NOUN"
"5495fbf9fdf99b50089f79d8","Version 96","licence","BOI","sell alcohol","sell","sell","VERB"
"5495fbf9fdf99b50089f79d8","Version 96","licence","BOI","sell alcohol","alcohol","alcohol","NOUN"
"5495fbf9fdf99b50089f79d8","Version 96","licence","BOI","buy drugs","buy","buy","VERB"
"5495fbf9fdf99b50089f79d8","Version 96","licence","BOI","buy drugs","drugs","drug","NOUN"
"5495fbf9fdf99b50089f79d8","Version 96","licence","BOI","buy vapes","buy","buy","VERB"
"5495fbf9fdf99b50089f79d8","Version 96","licence","BOI","buy vapes","vapes","vape","NOUN"
"5495fbf9fdf99b50089f79d8","Version 96","licence","BOI","sell drugs","sell","sell","VERB"
"5495fbf9fdf99b50089f79d8","Version 96","licence","BOI","sell drugs","drugs","drug","NOUN"
"5495fbf9fdf99b50089f79d8","Version 96","licence","BOI","teaching","teaching","teache","NOUN"
"5495fbf9fdf99b50089f79d8","Version 96","licence","BOI","childcare","childcare","childcare","NOUN"
"5495fbf9fdf99b50089f79d8","Version 96","matchwood","BOI","start a fire","start","start","VERB"
"5495fbf9fdf99b50089f79d8","Version 96","matchwood","BOI","start a fire","fire","fire","NOUN"
"5495fbf9fdf99b50089f79d8","Version 96","honeycomb","BOI","eat","eat","eat","VERB"
"5495fbf9fdf99b50089f79d8","Version 96","honeycomb","BOI","cover in chocolate","cover","cover","NOUN"
"5495fbf9fdf99b50089f79d8","Version 96","honeycomb","BOI","cover in chocolate","chocolate","chocolate","NOUN"
"5495fbf9fdf99b50089f79d8","Version 96","honeycomb","BOI","break","break","break","NOUN"
"5495fbf9fdf99b50089f79d8","Version 96","honeycomb","BOI","snap","snap","snap","NOUN"
"5495fbf9fdf99b50089f79d8","Version 96","honeycomb","BOI","throw","throw","throw","INTJ"
"5495fbf9fdf99b50089f79d8","Version 96","honeycomb","BOI","melt","melt","melt","NOUN"
"5495fbf9fdf99b50089f79d8","Version 96","honeycomb","BOI","boil","boil","boil","NOUN"
"5495fbf9fdf99b50089f79d8","Version 96","honeycomb","BOI","freeze","freeze","freeze","VERB"
"5495fbf9fdf99b50089f79d8","Version 96","honeycomb","BOI","hit people","hit","hit","VERB"
"5495fbf9fdf99b50089f79d8","Version 96","honeycomb","BOI","hit people","people","people","NOUN"
"5495fbf9fdf99b50089f79d8","Version 96","wristband","BOI","wear","wear","wear","VERB"
"5495fbf9fdf99b50089f79d8","Version 96","wristband","BOI","ping","ping","ping","NOUN"
"5495fbf9fdf99b50089f79d8","Version 96","sesame","BOI","season food","season","season","NOUN"
"5495fbf9fdf99b50089f79d8","Version 96","sesame","BOI","season food","food","food","NOUN"
"5495fbf9fdf99b50089f79d8","Version 96","sesame","BOI","cooking ingredient","cooking","cook","NOUN"
"5495fbf9fdf99b50089f79d8","Version 96","sesame","BOI","cooking ingredient","ingredient","ingredient","NOUN"
"5495fbf9fdf99b50089f79d8","Version 96","sesame","BOI","eat","eat","eat","VERB"
"5495fbf9fdf99b50089f79d8","Version 96","sesame","BOI","smell","smell","smell","INTJ"
"5495fbf9fdf99b50089f79d8","Version 96","sesame","BOI","sprinkle on the floor","sprinkle","sprinkle","NOUN"
"5495fbf9fdf99b50089f79d8","Version 96","sesame","BOI","sprinkle on the floor","floor","floor","NOUN"
"5495fbf9fdf99b50089f79d8","Version 96","sesame","BOI","throw","throw","throw","INTJ"
"5495fbf9fdf99b50089f79d8","Version 96","sesame","BOI","toast","toast","toast","NOUN"
"5495fbf9fdf99b50089f79d8","Version 96","clerk","BOI","paperwork","paperwork","paperwork","NOUN"
"5495fbf9fdf99b50089f79d8","Version 96","clerk","BOI","talk to","talk","talk","VERB"
"5495fbf9fdf99b50089f79d8","Version 96","clerk","BOI","finance","finance","finance","NOUN"
"5495fbf9fdf99b50089f79d8","Version 96","pen","BOI","write","write","write","X"
"5495fbf9fdf99b50089f79d8","Version 96","pen","BOI","chew","chew","chew","NOUN"
"5495fbf9fdf99b50089f79d8","Version 96","pen","BOI","spin","spin","spin","NOUN"
"5495fbf9fdf99b50089f79d8","Version 96","pen","BOI","draw","draw","dree","VERB"
"5495fbf9fdf99b50089f79d8","Version 96","pen","BOI","scribble","scribble","scribble","NOUN"
"5495fbf9fdf99b50089f79d8","Version 96","pen","BOI","throw","throw","throw","INTJ"
"5495fbf9fdf99b50089f79d8","Version 96","pamphlet","BOI","read","read","read","VERB"
"5495fbf9fdf99b50089f79d8","Version 96","pamphlet","BOI","rip","rip","rip","NOUN"
"5495fbf9fdf99b50089f79d8","Version 96","pamphlet","BOI","shred","shred","shr","VERB"
"5495fbf9fdf99b50089f79d8","Version 96","pamphlet","BOI","enjoy","enjoy","enjoy","VERB"
"5495fbf9fdf99b50089f79d8","Version 96","pamphlet","BOI","fold","fold","fold","VERB"
"5495fbf9fdf99b50089f79d8","Version 96","pamphlet","BOI","paper plane","paper","paper","NOUN"
"5495fbf9fdf99b50089f79d8","Version 96","pamphlet","BOI","paper plane","plane","plane","NOUN"
"5495fbf9fdf99b50089f79d8","Version 96","pamphlet","BOI","sell","sell","sell","VERB"
"5495fbf9fdf99b50089f79d8","Version 96","pamphlet","BOI","giveaway","giveaway","giveaway","INTJ"
"5495fbf9fdf99b50089f79d8","Version 96","stomach","BOI","holds food","holds","hold","NOUN"
"5495fbf9fdf99b50089f79d8","Version 96","stomach","BOI","holds food","food","food","NOUN"
