"Username","Condition.Description","Stimuli.Cue","Procedure.Trial.Type","affordance_parsed","word","lemma","POS"
"54a9b72efdf99b57183eb640","Version 24","floor","BOI","walking","walking","walk","NOUN"
"54a9b72efdf99b57183eb640","Version 24","floor","BOI","jumping","jumping","jump","VERB"
"54a9b72efdf99b57183eb640","Version 24","floor","BOI","lying down","lying","lie","VERB"
"54a9b72efdf99b57183eb640","Version 24","floor","BOI","dancing","dancing","dancing","NOUN"
"54a9b72efdf99b57183eb640","Version 24","smuggler","BOI","contraband","contraband","contraband","NOUN"
"54a9b72efdf99b57183eb640","Version 24","smuggler","BOI","spying","spying","spy","NOUN"
"54a9b72efdf99b57183eb640","Version 24","bong","BOI","smoking","smoking","smok","NOUN"
"54a9b72efdf99b57183eb640","Version 24","bong","BOI","passing around","passing","pass","NOUN"
"54a9b72efdf99b57183eb640","Version 24","bong","BOI","passing around","around","around","ADV"
"54a9b72efdf99b57183eb640","Version 24","bong","BOI","socialising","socialize","socialize","NOUN"
"54a9b72efdf99b57183eb640","Version 24","placard","BOI","advertising","advertising","advertising","NOUN"
"54a9b72efdf99b57183eb640","Version 24","parcel","BOI","opening","opening","open","NOUN"
"54a9b72efdf99b57183eb640","Version 24","parcel","BOI","sending","sending","send","VERB"
"54a9b72efdf99b57183eb640","Version 24","parcel","BOI","presents","presents","present","NOUN"
"54a9b72efdf99b57183eb640","Version 24","wildlife","BOI","looking at","looking","look","VERB"
"54a9b72efdf99b57183eb640","Version 24","wildlife","BOI","studying","studying","study","VERB"
"54a9b72efdf99b57183eb640","Version 24","fir","BOI","heat","heat","heat","NOUN"
"54a9b72efdf99b57183eb640","Version 24","fir","BOI","fire","fire","fire","NOUN"
"54a9b72efdf99b57183eb640","Version 24","fir","BOI","keeping warm","keeping","keep","VERB"
"54a9b72efdf99b57183eb640","Version 24","fir","BOI","keeping warm","warm","warm","ADJ"
"54a9b72efdf99b57183eb640","Version 24","cricket","BOI","playing","playing","play","VERB"
"54a9b72efdf99b57183eb640","Version 24","cricket","BOI","watching","watching","watch","VERB"
"54a9b72efdf99b57183eb640","Version 24","charcoal","BOI","drawing","drawing","drawe","VERB"
"54a9b72efdf99b57183eb640","Version 24","charcoal","BOI","heat","heat","heat","NOUN"
"54a9b72efdf99b57183eb640","Version 24","charcoal","BOI","fire","fire","fire","NOUN"
"54a9b72efdf99b57183eb640","Version 24","charcoal","BOI","making a mess","making","make","NOUN"
"54a9b72efdf99b57183eb640","Version 24","charcoal","BOI","making a mess","mess","mess","NOUN"
"54a9b72efdf99b57183eb640","Version 24","puck","BOI","hockey","hockey","hockey","NOUN"
"54a9b72efdf99b57183eb640","Version 24","puck","BOI","hitting","hitting","hit","VERB"
"54a9b72efdf99b57183eb640","Version 24","herb","BOI","cooking","cooking","cook","NOUN"
"54a9b72efdf99b57183eb640","Version 24","herb","BOI","smelling","smelling","smell","VERB"
"54a9b72efdf99b57183eb640","Version 24","herb","BOI","growing","growing","grow","VERB"
"54a9b72efdf99b57183eb640","Version 24","nightlight","BOI","safety","safety","safety","NOUN"
"54a9b72efdf99b57183eb640","Version 24","nightlight","BOI","marking the way","marking","marke","NOUN"
"54a9b72efdf99b57183eb640","Version 24","nightlight","BOI","marking the way","way","way","NOUN"
"54a9b72efdf99b57183eb640","Version 24","enemy","BOI","unsure","unsure","unsure","ADJ"
"54a9b72efdf99b57183eb640","Version 24","lampshade","BOI","decoration","decoration","decoration","NOUN"
"54a9b72efdf99b57183eb640","Version 24","lampshade","BOI","light diffusion","light","light","NOUN"
"54a9b72efdf99b57183eb640","Version 24","lampshade","BOI","light diffusion","diffusion","diffusion","NOUN"
"54a9b72efdf99b57183eb640","Version 24","harp","BOI","playing","playing","play","VERB"
"54a9b72efdf99b57183eb640","Version 24","harp","BOI","looking at","looking","look","VERB"
"54a9b72efdf99b57183eb640","Version 24","harp","BOI","plucking","plucking","pluck","VERB"
"54a9b72efdf99b57183eb640","Version 24","hibiscus","BOI","drinking","drinking","drink","VERB"
"54a9b72efdf99b57183eb640","Version 24","hibiscus","BOI","eating","eating","eat","VERB"
"54a9b72efdf99b57183eb640","Version 24","hibiscus","BOI","cooking","cooking","cook","NOUN"
"54a9b72efdf99b57183eb640","Version 24","hibiscus","BOI","smelling","smelling","smell","VERB"
"54a9b72efdf99b57183eb640","Version 24","sugar","BOI","eating","eating","eat","VERB"
"54a9b72efdf99b57183eb640","Version 24","sugar","BOI","cooking","cooking","cook","NOUN"
"54a9b72efdf99b57183eb640","Version 24","sugar","BOI","baking","baking","baking","NOUN"
"54a9b72efdf99b57183eb640","Version 24","sugar","BOI","cookies","cookies","cookie","NOUN"
"54a9b72efdf99b57183eb640","Version 24","gymnasium","BOI","working out","working","work","VERB"
"54a9b72efdf99b57183eb640","Version 24","gymnasium","BOI","gymnastics","gymnastics","gymnastic","NOUN"
"54a9b72efdf99b57183eb640","Version 24","gymnasium","BOI","eating lunch","eating","eat","VERB"
"54a9b72efdf99b57183eb640","Version 24","gymnasium","BOI","eating lunch","lunch","lunch","NOUN"
"54a9b72efdf99b57183eb640","Version 24","gymnasium","BOI","studying","studying","study","VERB"
"54a9b72efdf99b57183eb640","Version 24","giblets","BOI","throwing in the bin","throwing","throw","VERB"
"54a9b72efdf99b57183eb640","Version 24","giblets","BOI","throwing in the bin","bin","bin","NOUN"
"54a9b72efdf99b57183eb640","Version 24","artichoke","BOI","eating","eating","eat","VERB"
"54a9b72efdf99b57183eb640","Version 24","artichoke","BOI","chopping","chopping","chopping","NOUN"
"54a9b72efdf99b57183eb640","Version 24","quarters","BOI","spending","spending","spend","NOUN"
