"spelling.sugg","spelling.errors"
"Santa","santa"
"mush","smush"
"rent","arent"
"Christmas","christmas"
"construct","contruct"
"claque","jaque"
"costume","costeau"
"trash bag","trashbag"
"guard","gaurd"
"alcohol","alchol"
"chopstick","chapstick"
"pup petering","puppetering"
"TV","tv"
"Irish","irish"
"Friday","friday"
"iPad","ipad"
"ques","queso"
"DNA","dna"
"traveling","travelling"
"fairy tales","fairytales"
"teach","trach"
"ease's","else's"
"potassium","potasium"
"tree","tri"
"DE","de"
"taxidermy","taxiderm"
"sportiness","neosporin"
"bandied","bandaid"
"airings","earings"
"bung","buyng"
"flotation","floatation"
"connector","connecter"
"snowman","smowman"
"stick man","stickman"
"tepee","teepee"
"harden","herden"
"accessibility","accessablilty"
"pollinate","pollenate"
"bung","bing"
"roller skate","rollerskate"
"prosecute","prosacute"
"hobbies","hobbiest"
"body","bodu"
"private","privat"
"experiment","experiement"
"news report","newsreport"
"athlete","athleye"
"katakana","katana"
"key less","keyless"
"DVD","dvd"
"RC","rc"
"Clinton","clinton"
"Florida","florida"
"spider man","spiderman"
"in habitation","inhabitation"
"seat belt","seatbelt"
"counter tops","countertops"
"pharmacy","pharamacy"
"antidepressants","antidepressents"
"accessories","acccessories"
"instrument","instruement"
"electricity","electricitly"
"pizza","pizxa"
"upset","uspet"
"masturbation","masterbation"
"relishes","delishes"
"fliers","flyers"
"Ebola","ebola"
"murder","murde"
"Italy","italy"
"children","childreb"
"string","sturing"
"mirror","mirrior"
"Halloween","halloween"
"smooth","smoosh"
"with","witj"
"barbecue","barbeque"
"dispute","disput"
"photo shoots","photoshoots"
"receipts","reciepts"
"freezer","frezzer"
"gratitude","graditude"
