"Username","Trial","Condition.Description","Stimuli.Cue","Procedure.Trial.Type","affordance_parsed","affordance_corrected"
"7551",11,"Version 43","doorbell","BOI","rang","rang"
"7551",11,"Version 43","doorbell","BOI","changed","changed"
"7551",11,"Version 43","doorbell","BOI","ignored","ignored"
"7551",12,"Version 43","environment","BOI","visit","visit"
"7551",12,"Version 43","environment","BOI","clean","clean"
"7551",14,"Version 43","daughter","BOI","raised","raised"
"7551",14,"Version 43","daughter","BOI","grown up","grown up"
"7551",15,"Version 43","marijuana","BOI","smoked","smoked"
"7551",15,"Version 43","marijuana","BOI","grown ","grown "
"7551",16,"Version 43","ledge","BOI","see views","see views"
"7551",16,"Version 43","ledge","BOI","fall off","fall off"
"7551",17,"Version 43","bathroom","BOI","use","use"
"7551",17,"Version 43","bathroom","BOI","clean","clean"
"7551",18,"Version 43","waiter","BOI","served","served"
"7551",18,"Version 43","waiter","BOI","talked to ","talked to "
"7551",19,"Version 43","granny","BOI","cookies","cookies"
"7551",19,"Version 43","granny","BOI","food","food"
"7551",19,"Version 43","granny","BOI","love","love"
"7551",20,"Version 43","sink","BOI","wash dishes","wash dishes"
"7551",20,"Version 43","sink","BOI","wash hands","wash hands"
"7551",21,"Version 43","suspenders","BOI","worn as an outfit ","worn as an outfit "
"7551",22,"Version 43","bin","BOI","throw out trash","throw out trash"
"7551",22,"Version 43","bin","BOI","carry items ","carry items "
"7551",23,"Version 43","penny","BOI","collect","collect"
"7551",23,"Version 43","penny","BOI","use for payment ","use for payment "
"7551",24,"Version 43","footbath","BOI","put feet in ","put feet in "
"7551",28,"Version 43","boulder","BOI","push","push"
"7551",29,"Version 43","path","BOI","walk on","walk on"
"7551",30,"Version 43","maid","BOI","clean","clean"
"7551",30,"Version 43","maid","BOI","cook","cook"
"7551",32,"Version 43","sling","BOI","hold arm ","hold arm "
"7551",33,"Version 43","fountainhead","BOI","drink water out of ","drink water out of "
"7551",34,"Version 43","crowbar","BOI","open things","open things"
"7551",36,"Version 43","gauze","BOI","tighten wound ","tighten wound "
"7551",37,"Version 43","chrysanthemum","BOI","grow ","grow "
"7551",39,"Version 43","axe","BOI","chop wood ","chop wood "
"ac9377",11,"Version 47","sled","BOI","snow","snow"
"ac9377",11,"Version 47","sled","BOI","drag things","drag things"
"ac9377",12,"Version 47","chest","BOI","push ups","push ups"
"ac9377",12,"Version 47","chest","BOI","lay","lay"
"ac9377",13,"Version 47","stream","BOI","water","water"
"ac9377",15,"Version 47","handkerchief","BOI","blow your nose","blow your nose"
"ac9377",15,"Version 47","handkerchief","BOI","wipe your hands","wipe your hands"
"ac9377",16,"Version 47","headrest","BOI","lay down","lay down"
"ac9377",17,"Version 47","floorboard","BOI","stand on","stand on"
"ac9377",17,"Version 47","floorboard","BOI","weapon","weapon"
"ac9377",18,"Version 47","firstborn","BOI","baby sitter","baby sitter"
"ac9377",19,"Version 47","keepsake","BOI","to remember","to remember"
