"Username","Condition.Description","Stimuli.Cue","Procedure.Item","affordance_parsed","word","lemma","POS"
"10117172LL","Version 17","kid",497,"happiness","happiness","happiness","NOUN"
"10117172LL","Version 17","feline",495,"cat","cat","cat","NOUN"
"10117172LL","Version 17","doorknob",509,"open","open","open","ADJ"
"10117172LL","Version 17","headphones",487,"music","music","music","NOUN"
"10117172LL","Version 17","bubble",496,"pop","pop","pop","NOUN"
"10117172LL","Version 17","memorabilia",491,"memorize","memorize","memorize","NOUN"
"10117172LL","Version 17","parka",482,"eat","eat","eat","VERB"
"10117172LL","Version 17","mincemeat",505,"feed","feed","feed","NOUN"
"10117172LL","Version 17","chapel",498,"pray","pray","pray","VERB"
"10117172LL","Version 17","wastebasket",485,"away","away","away","ADV"
"10117172LL","Version 17","washerwoman",511,"clean","clean","clean","ADJ"
"10117172LL","Version 17","rum",492,"drink","drink","drink","NOUN"
"10117172LL","Version 17","kitten",493,"save","save","save","VERB"
"10117172LL","Version 17","nutshell",501,"crack","crack","crack","NOUN"
"10117172LL","Version 17","jacket",494,"put on","put","put","VERB"
"10117172LL","Version 17","sleigh",508,"ride","ride","ride","NOUN"
"10117172LL","Version 17","groom",483,"bride","bride","bride","NOUN"
"10117172LL","Version 17","leech",499,"take off","take","take","VERB"
"10117172LL","Version 17","wart",504,"fall off","fall","fall","NOUN"
"10117172LL","Version 17","caddy",490,"catch","catch","catch","VERB"
"10117172LL","Version 17","drill",486,"a hole","hole","hole","NOUN"
"10117172LL","Version 17","fingerboard",507,"ride","ride","ride","NOUN"
"10117172LL","Version 17","handbook",500,"read","read","read","VERB"
"10117172LL","Version 17","spice",510,"food","food","food","NOUN"
"10117172LL","Version 17","frame",503,"open","open","open","ADJ"
"10117172LL","Version 17","gearbox",488,"use","use","use","VERB"
"10117172LL","Version 17","gingersnap",489,"eat","eat","eat","VERB"
"10117172LL","Version 17","aftershave",506,"use","use","use","VERB"
"10117172LL","Version 17","colander",502,"smell","smell","smell","INTJ"
"10117172LL","Version 17","bookseller",484,"sell","sell","sell","VERB"
"10128215BC","Version 19","raft",565,"float","float","float","NOUN"
"10128215BC","Version 19","raft",565,"steer","steer","steer","NOUN"
"10128215BC","Version 19","vulva",562,"please","please","please","INTJ"
"10128215BC","Version 19","cookie",568,"eat","eat","eat","VERB"
"10128215BC","Version 19","cookie",568,"give","give","give","VERB"
"10128215BC","Version 19","couch",545,"sit","sit","sit","VERB"
"10128215BC","Version 19","couch",545,"lounge","lounge","lounge","NOUN"
"10128215BC","Version 19","couch",545,"sleep","sleep","sleep","NOUN"
"10128215BC","Version 19","goose",554,"pet","pet","pet","NOUN"
"10128215BC","Version 19","woodcutter",561,"use","use","use","VERB"
"10128215BC","Version 19","woodcutter",561,"cut","cut","cut","VERB"
"10128215BC","Version 19","bagpipes",551,"play","play","play","VERB"
"10128215BC","Version 19","bagpipes",551,"listen","listen","listen","VERB"
"10128215BC","Version 19","bagpipes",551,"see","see","see","VERB"
"10128215BC","Version 19","letterbox",560,"place","place","place","NOUN"
"10128215BC","Version 19","letterbox",560,"opem","poem","poem","NOUN"
"10128215BC","Version 19","silkworm",571,"watch","watch","watch","VERB"
"10128215BC","Version 19","tear",557,"cry","cry","cry","VERB"
"10128215BC","Version 19","tear",557,"wipe","wipe","wipe","INTJ"
"10128215BC","Version 19","kitchen",567,"use","use","use","VERB"
"10128215BC","Version 19","kitchen",567,"clean","clean","clean","ADJ"
"10128215BC","Version 19","backpack",556,"wear","wear","wear","VERB"
"10128215BC","Version 19","backpack",556,"open","open","open","ADJ"
"10128215BC","Version 19","toe",566,"paint","paint","paint","VERB"
"10128215BC","Version 19","enamel",553,"brush","brush","brush","INTJ"
"10128215BC","Version 19","godparent",552,"love","love","love","NOUN"
"10128215BC","Version 19","cage",563,"trap","trap","trap","NOUN"
"10128215BC","Version 19","cage",563,"rattle","rattle","rattle","NOUN"
"10128215BC","Version 19","saltwater",546,"swim","swim","swim","NOUN"
"10128215BC","Version 19","saltwater",546,"watch","watch","watch","VERB"
"10128215BC","Version 19","yardstick",570,"measure","measure","measure","NOUN"
"10128215BC","Version 19","lubrication",550,"use","use","use","VERB"
"10128215BC","Version 19","steak",555,"eat","eat","eat","VERB"
"10128215BC","Version 19","steak",555,"cut","cut","cut","VERB"
"10128215BC","Version 19","lantern",559,"watch","watch","watch","VERB"
"10128215BC","Version 19","plaster",543,"use","use","use","VERB"
"10128215BC","Version 19","splinter",564,"pull","pull","pull","NOUN"
"10128215BC","Version 19","splinter",564,"hurt","hurt","hurt","VERB"
"10128215BC","Version 19","kerchief",542,"wear","wear","wear","VERB"
"10128215BC","Version 19","switchblade",558,"use","use","use","VERB"
"10128215BC","Version 19","switchblade",558,"cut","cut","cut","VERB"
"10128215BC","Version 19","treadmill",569,"walk","walk","walk","VERB"
"10128215BC","Version 19","tray",548,"use","use","use","VERB"
"10128215BC","Version 19","tray",548,"give","give","give","VERB"
"10128215BC","Version 19","goggles",544,"wear","wear","wear","VERB"
"10128215BC","Version 19","derriere",549,"sit","sit","sit","VERB"
"w10012802_agb","Version 40","sushi",1200,"eat","eat","eat","VERB"
"w10012802_agb","Version 40","sushi",1200,"serve","serve","serve","VERB"
"w10012802_agb","Version 40","sushi",1200,"make","make","make","VERB"
"w10012802_agb","Version 40","sushi",1200,"role","role","role","NOUN"
"w10012802_agb","Version 40","sushi",1200,"fill","fill","fill","NOUN"
"w10012802_agb","Version 40","sushi",1200,"draw","draw","dree","VERB"
"w10012802_agb","Version 40","sushi",1200,"store","store","store","NOUN"
"w10012802_agb","Version 40","sushi",1200,"sale","sale","sale","NOUN"
"w10012802_agb","Version 40","bedspread",1175,"wash","wash","wash","INTJ"
"w10012802_agb","Version 40","bedspread",1175,"dry","dry","dry","ADJ"
"w10012802_agb","Version 40","bedspread",1175,"flatten","flatten","flatten","ADJ"
"w10012802_agb","Version 40","bedspread",1175,"fold","fold","fold","VERB"
"w10012802_agb","Version 40","bedspread",1175,"buy","buy","buy","VERB"
"w10012802_agb","Version 40","bedspread",1175,"lend","lend","lend","NOUN"
"w10012802_agb","Version 40","bedspread",1175,"store","store","store","NOUN"
"w10012802_agb","Version 40","bedspread",1175,"use","use","use","VERB"
"w10012802_agb","Version 40","bedspread",1175,"tuck","tuck","tuck","NOUN"
"w10012802_agb","Version 40","trombone",1195,"play","play","play","VERB"
"w10012802_agb","Version 40","trombone",1195,"slide","slide","slide","VERB"
"w10012802_agb","Version 40","trombone",1195,"clean","clean","clean","ADJ"
"w10012802_agb","Version 40","trombone",1195,"store","store","store","NOUN"
"w10012802_agb","Version 40","trombone",1195,"protect","protect","protect","VERB"
"w10012802_agb","Version 40","trombone",1195,"hear","hear","hear","VERB"
"w10012802_agb","Version 40","trombone",1195,"sale","sale","sale","NOUN"
"w10012802_agb","Version 40","trombone",1195,"replace","replace","replace","VERB"
"w10012802_agb","Version 40","trombone",1195,"tune","tune","tune","NOUN"
"w10012802_agb","Version 40","trombone",1195,"oil","oil","oil","NOUN"
"w10012802_agb","Version 40","trombone",1195,"alternate","alternate","alternate","ADJ"
"w10012802_agb","Version 40","goldsmith",1194,"shape gold","shape","shape","NOUN"
